ts,city,state,event,year,year_mon,ymd,yw,department
2014-11-29 15:22:00,Washington,District of Columbia,"PRELIM INFO FROM FAA OPS: WASHINGTON, DC/UAS INCIDENT/1500E/POTOMAC TRACON ADVISED PIPER PA31 REPORTED A UAS AT 9,000 FEET 50 MILES SOUTH OF DCA ARPT. NO DESCRIPTION WAS GIVEN. NO LEO NOTIFIED.

FOLLOW-UP INFO FROM FAA OPS: WASHINGTON, DC/UAS INCIDENT/1522E/POTOMAC TRACON REPORTED THE UAS WAS DESCRIBED AS SILVER AND BLACK, 3 FEET LONG WITH THINGS STICKING OUT OF IT. NO DIRECTION OF TRAVEL WAS GIVEN. FAA NOTIFIED ESSEX COUNTY SHERIFF.",2014,201411,2014-11-29,201448,LEO NOT NOTIFIED
2014-11-29 16:14:00,Daytona Beach,Florida,"PRELIM INFO FROM FAA OPS: DAYTONA BEACH, FL/UAS INCIDENT/1614E/DAYTONA BEACH TRACON ADVISED CESSNA C172 REPORTED A UAS BLUE IN COLOR HEADING NORTHEAST BOUND AT 4,500 FEET 10 MILES EAST OF DAYTONA BEACH. NO EVASIVE ACTION TAKEN. VOLUSIA COUNTY SHERIFF NOTIFIED.",2014,201411,2014-11-29,201448,VOLUSIA COUNTY SHERIFF NOTIFIED
2014-11-30 17:19:59,Andrews AFB,Maryland,"PRELIM INFO FROM FAA OPS: ANDREWS AFB, MD/UAS INCIDENT/1720E/ANDREWS ATCT ADVISED THAT AN UNIDENTIFED GULFSTREAM REPORTED A UAS ON A 3 MILES FINAL TO RUNWAY 19R. UAS WAS DESCRIBED AS A LARGE VULTURE. PRINCE GEORGES COUNTY PD NOTIFIED.",2014,201411,2014-11-30,201448,PRINCE GEORGES COUNTY PD NOTIFIED
2014-12-04 10:57:00,Los Angeles,California,"PRELIM INFO FROM FAA OPS: LOS ANGELES, CA/UAS INCIDENT/1057P/LAX ATCT ADVISED MESA 5400, CRJ9, REPORTED A UAS AT 2,600 FEET WHILE ON A 12 MILE FINAL FOR RUNWAY 24R. UAS WAS WHITE, 1 FOOT BY 1 FOOT AND CAME WITHIN 500 FEET OF THE ACFT. NO EVASIVE ACTION REPORTED. LAPD AVIATION UNIT NOTIFIED.",2014,201412,2014-12-04,201449,LAPD AVIATION UNIT NOTIFIED
2014-12-05 13:14:00,Herndon,Virginia,"PRELIM INFO FROM FAA OPS: HERNDON, VA/UAS INCIDENT/0930E/FAA NCRCC RECEIVED TELEPHONE CALL AND EMAIL FROM FAIRFAX COUNTY POLICE HELICOPTER DIVISION REGARDING ONGOING DRONE ACTIVITY. THE UAS DESCRIPTION WAS RED AND GREEN LIGHTS PROTRUDING FROM IT. THIS INCIDENT HAPPENED ON 5TH OF DECEMBER AT 2200E.",2014,201412,2014-12-05,201449,NA
2014-12-07 16:34:59,Miami,Florida,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS INCIDENT/1635E/MIAMI APCH ADVISED SKY10, HELICOPTER, AND METRO POLICE 6, HELICOPTER, REPORTED UAS AT 150 FEET, 3 E MIA ON THE RUNWAY 26R FINAL. UAS DESCRIBED AS HELO TYPE WITH 4 PROPELLERS. NO CONFLICTS REPORTED. METRO PD AVIATION UNIT NOTIFIED.",2014,201412,2014-12-07,201449,METRO PD AVIATION UNIT NOTIFIED
2014-12-08 08:25:00,Los Angeles,California,"PRELIM INFO FROM FAA OPS: LAX/UAS INCIDENT/12-8 0825P/COMPASS 6423, E170, SFO-LAX, POSSIBLE DRONE SIGHTING RUNWAY 25L FINAL APPROACH 1 EAST LAX AT 400 FEET. UAS WAS ROUND/CYLINDRICAL MOVING RIGHT TO LEFT AWAY FROM THE RUNWAY. SUNLIGHT APPEARED TO REFLECT OFF OBJECT. NO CONFLICTS OR EVASIVE ACTION REPORTED. LEO NOT NOTIFIED.",2014,201412,2014-12-08,201450,LEO NOT NOTIFIED
2014-12-11 12:55:00,New Orleans,Louisiana,"PRELIM INFO FROM FAA OPS: NEW ORLEANS, LA/UAS INCIDENT/1255C/CHAUTAUQUA 6172, E145, NEW ORLEANS - MEMPHIS, REPORTED A LARGE WHITE SINGLE PROP UAS 100 YARDS AWAY WHILE WESTBOUND ON FINAL APPROACH FOR RUNWAY 1 AT 900 FEET.  NO EVASIVE ACTION REQUIRED.  ST. CHARLES SHERIFF DEPT. NOTIFIED.",2014,201412,2014-12-11,201450,NOTIFIED
2014-12-12 12:30:59,Jacksonville,Florida,"PRELIM INFO FROM FAA OPS: JACKSONVILLE, FL/UAS INCIDENT/1231E/MILITARY VVAJ700, H60, REPORTED AN UNKN UAS AT 1,000 FEET 4.2 W  OF JACKSONVILLE NAS. NO EVASIVE ACTION TAKEN. NO LAW ENFORCEMENT NOTIFIED. ",2014,201412,2014-12-12,201450,LEO NOT NOTIFIED
2014-12-14 12:49:59,Tamiami,Florida,"PRELIM INFO FROM FAA OPS: TAMIAMI, FL/UAS/1250E PIPER P28A REPORTED A MODEL AIRPLANE FLYING OFF HIS RIGHT WING AT 1,200 FEET VCNTY TAMIAMI. CZECH PIPER SPORT, ALSO REPORTED SEEING THE MODEL ACFT. ",2014,201412,2014-12-14,201450,NA
2014-12-14 13:12:00,Carlsbad,California,"PRELIM INFO FROM FAA OPS: CARLSBAD, CA/UAS INCIDENT/1312P/CRQ ATCT ADVISED AN OFF DUTY PILOT REPORTED 3 REMOTE CONTROL HELICOPTERS OPERATING 1.5 E CRQ, ALTITUDE UNKN. CARLSBAD PD NOTIFIED.",2014,201412,2014-12-14,201450,CARLSBAD PD NOTIFIED
2014-12-14 20:15:00,Miami,Florida,"PRELIM INFO FROM FAA OPS: MIAMI, FL/UAS INCIDENT/2015E/LIFE FLIGHT HELICOPTER, REPORTED SEEING A UAS AT OR ABOUT 150 FEET EQUIPPED WITH NAV LIGHTS 5 S MIA. MIAMI DADE POLICE AVIATION UNIT WAS NOTIFIED.

FOLLOW UP INFO FROM FAA OPS: MIAMI, FL/UAS INCIDENT/2048E/ZMA REPORTS MIAMI DADE POLICE FOUND OPERATOR FLYING UAS 5 S MIA AND ADVISED NOT TO FLY . ",2014,201412,2014-12-14,201450,MIAMI DADE POLICE AVIATION UNIT NOTIFIED
2014-12-16 15:04:00,Kansas City,Missouri,PRELIM INFO FROM FAA OPS: MKC/UAS INCIDENT/12-14 1504C-DELAYED REPORT/KANSAS CITY ARTCC ADVISED THAT AN OFF DUTY PILOT REPORTED A QUAD COPTER OVER THE SOUTH END OF THE BROADWAY BRIDGE HOVERING 50 FEET ABOVE THE TOP OF THE BRIDGE. UNKN IF LEO NOTIFIED. ,2014,201412,2014-12-16,201451,UNKN IF LEOS NOTIFIED
2014-12-16 15:59:00,Van Nuys,California,"PRELIM INFO FROM FAA OPS: VAN NUYS, CA/UAS INCIDENT/1559P/VAN NUYS ATCT ADVISED ROBINSON R66 REPORTED SMALL UAS OVER THE NW CORNER OF THE PARKING RAMP AT 100 FEET. NO CONFLICTS REPORTED BUT ADVISED IT WAS A HAZARD. LEO'S NOT NOTIFIED. ",2014,201412,2014-12-16,201451,LEO NOT NOTIFIED
2014-12-19 11:08:00,Savannah,Georgia,"PRELIM INFO FROM FAA OPS: SAVANNAH, GA/UAS INCIDENT/12-19 1108E CIRRUS SR22 REPORTED UAS OPERATING 1 TO 2 MILES OFF RIGHT WING AT 6,000 FEET 9 NNE SAVANNAH. DIRECTION OF MOVEMENT UNKNOWN. UAS APPEARED ROUND BODIED AND APPROXIMATELY 15 FEET ACROSS. NO EVASIVE ACTION TAKEN.  LEO NOTIFICATION UNKNOWN. ",2014,201412,2014-12-19,201451,NA
2014-12-20 14:00:00,Los Angeles,California,"PRELIM INFO FROM FAA OPS: LAX/UAS INCIDENT/1400P/SCT ADVISED CANADAIR CL60 AT 5,000 FEET REPORTED A UAS AT SAME ALTITUDE 15 E LAX. LA CO SHERIFF NOTIFIED. NO EVASIVE ACTION TAKEN.",2014,201412,2014-12-20,201451,LA CO SHERIFF NOTIFIED
2014-12-22 22:31:00,West Palm Beach,Florida,"PRELIM INFO FROM FAA OPS: WEST PALM BEACH, FL/UAS INCIDENT/2231E/WEST PALM BEACH APPROACH ADVISED THAT WEST PALM BEACH ARPT OPS CALLER REPORTED A UAS (ALTITUDE AND DIRECTION OF FLIGHT NOT REPORTED) ORBITING AROUND THE APPROACH FOR RUNWAY 10L 6 W WEST PALM BEACH ARPT. PALM BEACH SHERIFF AIR AND GROUND UNITS SEARCHING AREA FOR UAS AND OPERATOR.",2014,201412,2014-12-22,201452,NA
2014-12-24 09:16:00,Honolulu,Hawaii,"PRELIM INFO FROM FAA OPS: HONOLULU, HI/UAS INCIDENT/0916L/2 TOUR HELICOPTERS WEST OF DIAMOND HEAD CRATER, REPORTED A UAS OPERATING AT 200 FEET VCNTY BEACH FRONT PARK. USSS AND LOCAL PD NOTIFIED.",2014,201412,2014-12-24,201452,USSS AND LOCAL PD NOTIFIED
2014-12-25 15:01:00,Wichita,Kansas,"PRELIM INFO FROM FAA OPS: WICHITA, KS/UAS INCIDENT/1501C CESSNA C172 REPORTED A RED AND WHITE UAS 2 FEET IN DIAMETER AT 6,000 FEET 4 SE WICHITA. PILOT STATED THAT UAS ALMOST HIT ACFT. LEO NOTIFICATION UNKNOWN.",2014,201412,2014-12-25,201452,NA
2014-12-27 10:02:00,Princeton,New Jersey,"PRELIM INFO FROM FAA OPS: PRINCETON/ROCKY HILL, NJ/UAS INCIDENT/0945E/NEW YORK TRACON ADVISED CESSNA C172 REPORTED A UAS OVER PRINCETON ARPT (39N) AT 3,500 FEET. NO CONFLICTS REPORTED. NJ STATE PD NOTIFIED.",2014,201412,2014-12-27,201452,NJ STATE PD NOTIFIED
2014-12-27 14:19:59,Salem,New Jersey,"PRELIM INFO FROM FAA OPS: SALEM, NJ/UAS INCIDENT/1420E/HOPE CREEK NUCLEAR PLANT PERSONNEL REPORTED A UAS TRANSITIONING THE COASTLINE ADJACENT TO THE PLANT FROM SOUTH TO NORTH, NO ADDITIONAL INFO PROVIDED. ",2014,201412,2014-12-27,201452,NA
2014-12-28 15:01:59,San Carlos,California,"PRELIM INFO FROM FAA OPS: SAN CARLOS, CA/UAS INCIDENT/1502P/SAN CARLOS ATCT ADVISED CESSNA C172 REPORTED A WHITE UAS, SMALL IN SIZE, AT 1,500 FEET 4 S SAN CARLOS. NO CONFLICTS REPORTED. 

PRELIM INFO FROM FAA OPS: SAN CARLOS, CA/UAS INCIDENT/1512P/SAN CARLOS ATCT ADVISED SAN CARLOS FLIGHT CENTER 44, ROBINSON R44, WHILE ON 3 MILE FINAL RUNWAY 30, REPORTED A WHITE UAS, SMALL IN SIZE, WITH 4 PROPELLERS AT 1,500 FEET 4 SW SAN CARLOS. NO CONFLICTS REPORTED. ",2014,201412,2014-12-28,201452,NA
2014-12-28 16:25:00,Ft Lauderdale,Florida,"PRELIM INFO FROM FAA OPS: FT LAUDERDALE, FL/UAS INCIDENT/1625E/MIAMI APCH ADVISED US AIRWAYS 1760, A320, AFTER LANDING REPORTED A WHITE UAS AT 3,400 FEET 7 NW FLL. NO CONFLICTS REPORTED. LEO'S NOTIFIED.",2014,201412,2014-12-28,201452,LEOS NOTIFIED
2014-12-29 09:35:00,Boston,Massachusetts,"PRELIM INFO FROM FAA OPS: BOSTON, MA/UAS INCIDENT/0935E/BOSTON ATCT REPORTED JAZZ 7678, CRJ2, MONTREAL, CANADA - BOSTON, SEEING A SMALL DARK UAS WHILE ON .25 FINAL TO RUNWAY 33L JUST BELOW HIM MOVING LEFT TO RIGHT AT UNKN ALTITUDE. FBI NOTIFIED AND RESPONDING TO ATCT.",2014,201412,2014-12-29,201401,FBI NOTIFIED
2014-12-29 11:29:59,Redding,California,"PRELIM INFO FROM FAA OPS:  REDDING, CA/UAS INCIDENT/1130P/READING ATCT REPORTED THAT CESSNA C172 REPORTED A SMALL UAS DESCRIBED AS AN RC TYPE, 500 FEET BELOW ACFT ALTITUDE. NO EVASIVE ACTION REQUIRED. TOWER OBSERVED THE UAS FOR ABOUT 10 MINS WHILE IN THE PATTERN. LOCAL LEOS NOTIFIED. ",2014,201412,2014-12-29,201401,LEOS NOTIFIED
2015-01-01 00:03:00,Nashville,Tennessee,"PRELIM INFO FROM FAA OPS: NASHVILLE, TN/UAS INCIDENT/0003C/NASHVILLE ATCT REPORTED SKYY5, NEWS HELICOPTER, AT 1,500 FEET OVER DOWNTOWN NASHVILLE SPOTTED A UAS FLYING AT APPROXIMATELY 300 FEET EAST TO WEST OVER CITY. NASHVILLE METRO POLICE NOTIFIED.",2015,201501,2015-01-01,201501,NASHVILLE METRO POLICE NOTIFIED
2015-01-01 00:49:59,Arlignton,Washington,"PRELIM INFO FROM FAA OPS: ARLINGTON,WA/UAS INCIDENT/0050P MO20 REPORTED A POSSIBLE UAS FLYING OVER THE APPROACH END OF RUNWAY 34 AT ARLINGTON. LEO NOT NOTIFIED. ",2015,201501,2015-01-01,201501,LEO NOT NOTIFIED
2015-01-03 15:14:00,Long Beach,California,"PRELIM INFO FROM FAA OPS: LONG BEACH, CA/UAS INCIDENT/1541P/SOUTHERN CALIFORNIA TRACON ADVISED MOONEY M20P REPORTED A 2-3 FEET LONG UAS APPROX 200 FEET LATERAL AT 10,500 FEET VCNTY LGB. NO CONFLICTS REPORTED. LONG BEACH PD NOTIFIED.",2015,201501,2015-01-03,201501,LONG BEACH PD NOTIFIED
2015-01-06 13:37:00,Melbourne,Florida,"PRELIM INFO FROM FAA OPS: MELBOURNE, FL/UAS INCIDENT/1337E/MIA ARTCC ADVISED CIRRUS  SR22, SAVANNAH ,GA - PALM BEACH, FL, REPORTED A UAS APPROX 100 FEET OFF THEIR WING AT 12,000 FEET 15 N MELBOURNE, FL. NO CONFLICTS REPORTED.  NO LEO NOTIFIED.",2015,201501,2015-01-06,201502,LEO NOT NOTIFIED
2015-01-07 13:30:00,Ormond Beach,Florida,"PRELIM INFO FROM FAA OPS: ORMOND BEACH, FL/UAS INCIDENT/1330E/OMN AIRPORT MANAGEMENT REPORTED RECEIVING A CALL STATING THAT A UAS WAS FLYING ABOVE 400 FEET 2 SW OMN. DAYTONA BEACH TRACON NOTIFIED.",2015,201501,2015-01-07,201502,DAYTONA BEACH TRACON NOTIFIED
2015-01-11 21:24:00,Orlando,Florida,"PRELIM INFO FROM FAA OPS: ORLANDO, FL/UAS INCIDENT/2124E/MCO ATCT REPORTED CHASE 3 (P3),  BELL OH58, INTERCEPTED  A PHANTOM II PLUS, QUADCOPTER, WHITE WITH RED STRIPES, 2.5 N OF MCO ON FINAL AT 288 FEET,  CLOSEST PROXIMITY TO CHASE 3 WAS 300 FEET. LEOS DIRECTED THE OPERATOR TO LAND THE QUADCOPTER AT THE INTERSECTION OF PERSHING AVE AND SEMORAN BLVD. LEOS INTERVIEWING UAS OPERATOR. ORANGE COUNTY SHERIFF DEPT. NO IMPACT TO AIRPORT OPERATIONS.",2015,201501,2015-01-11,201502,NA
2015-01-13 15:14:59,Newark,New Jersey,"PRELIM INFO FROM FAA OPS: NEWARK, NJ/UAS INCIDENT/1515E/NEW YORK TRACON REPORTED THAT COMMUTAIR 4821, DE HAVILLAND DH8B, BWI - EWR, OBSERVED A RED AND BLACK UAS AT 3,300 FEET APPROX. 18 SW EWR. UAS TRAVELING IN OPPOSITE DIRECTION. SIZE NOT INDICATED. NJ STATE PD NOTIFIED.",2015,201501,2015-01-13,201503,NJ STATE PD NOTIFIED
2015-01-16 10:08:00,Burbank,California,"PRELIM INFO FROM FAA OPS: BURBANK, CA/UAS/1008P/BURBANK ATCT ADVISED AN UNIDENTIFIED SKY WEST ACFT REPORTED A UAS OFF THE DEPARTURE END OF RUNWAY 15, 2-3 FEET IN DIAMETER, AT 50 FEET IN ALTITUDE .25 S BURBANK ARPT. BURBANK PD NOTIFIED. ",2015,201501,2015-01-16,201503,BURBANK PD NOTIFIED
2015-01-16 15:24:59,Tulsa,Oklahoma,"PRELIM INFO FROM FAA OPS: TULSA, OK/UAS INCIDENTS/1525C/TUL ATCT ADVISED HAWKER BEECHCRAFT BE36 REPORTED A 3 FEET BY 3 FEET BLACK UAS PASSED ABOUT .25 MILE OFF ACFT LEFT 12 NE TUL. ",2015,201501,2015-01-16,201503,NA
2015-01-16 16:05:59,Ormond Beach,Florida,"PRELIM INFO FROM FAA OPS: ORMOND BEACH, FL/UAS INCIDENT/1606E/DAB ATCT ADVISED A RESIDENT (OFF DUTY LEO) REPORTED HIS NEIGHBOR WAS FLYING A UAS AT UNKN ALTITUDE JUST WEST ORMOND BEACH ARPT. VOLUSIA CO SHERIFF RESPONDED AND INFORMED UAS OPERATOR TO CEASE AND DESIST.",2015,201501,2015-01-16,201503,NA
2015-01-22 00:13:00,Roanoke,Virginia,"PRELIM INFO FROM FAA OPS: ROANOKE, VA/UAS INCIDENT/1213E/ROA TRACON ADVISED USAIR EXPRESS 4808, DE HAVILLAND DH8B,  REPORTED A FAST MOVING UAS RESEMBLING AN AIRPLANE PASSING 1,000-1,500 FEET BELOW 17 S ROA.",2015,201501,2015-01-22,201504,NA
2015-01-23 12:38:00,Ormond Beach,Florida,"PRELIM INFO FROM FAA OPS: ORMOND BEACH, FL/UAS INCIDENT/1238E/DAYTONA APRCH ADVISED CESSNA C172 AT 1,000 FEET ON RIGHT DOWNWIND RUNWAY 17 REPORTED UAS AT 200 FEET ABOVE HEADING S BOUND. NO CONFLICTS REPORTED. VOLUSIA COUNTY PD.


MOR Alert for DAB

Number: DAB-M-2015/01/23-0002

Type: Public inquiry or concern (including all pilot reported NMACs)

Date/Time: Jan 23, 2015 - 1809Z

A/C: C172

Summary: OMN TOWER REPORTED GA ACFT SIGHTED A UAV 200' ABOVE THE AIRCRAFT WHICH WAS AT 1000' IN OMN'S PATTERN.THE UAV WAS ON THE RIGHT DOWNWIND LEG OF RY17 AT OMN.DEN AND ROC NOTIFIED. VOULISA COUNTY SHERIFF'S OFFICE NOTIFIED.
",2015,201501,2015-01-23,201504,OMN.DEN AND ROC NOTIFIED
2015-01-23 18:30:00,Minneapolis,Minnesota,"PRELIM INFO FROM FAA OPS: MINNEAPOLIS, MN/UAS INCIDENT/1830C/FCM ATCT ADVISED LEO REPORTED UAS OPERATING 1.5 N FCM. NO IMPACT TO OPS. UAS NOT OBSERVED FROM TOWER OR ON RADAR. EDEN PRAIRIE PD INVESTIGATING.


MOR Alert for FCM

Number: FCM-M-2015/01/23-0002

Type: Public inquiry or concern (including all pilot reported NMACs)

Date/Time: Jan 23, 2015 - 0018Z

A/C: 

Summary: EPPD NOTIFIED ATC OF A DRONE FLYING APPROX. 1.5 MILES NORTH OF FIELD WITH GREEN AND WHITE LIGHTS. I DID NOT SEE ANYTHING ON RADAR OR OUT THE WINDOWS. EPPD CALLED FCMT ON THE TOWER DISPATCH RADIO ADVISING THAT THEY NOW KNOW WHERE IT LANDED. DEN NOTIFIED AND ADVISED TO SEND AN OFFICER TO SPEAK WITH THE ""PILOT"" OF THE DRONE. NO TRAFFIC WAS AFFECTED.
",2015,201501,2015-01-23,201504,EPPD NOTIFIED
